435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
435	331
431	331
436	295
473	234
532	186
561	171
594	152
610	144
626	130
632	120
633	117
633	115
639	102
647	81
656	67
670	56
678	49
684	44
689	38
689	37
690	36
690	36
690	36
690	36
690	36
690	36
690	36
690	36
667	46
561	118
486	156
398	197
359	213
333	219
322	221
314	225
313	226
313	226
313	226
306	232
302	234
302	235
302	237
302	237
302	237
302	237
302	237
302	237
302	237
302	237
265	186
224	102
195	38
191	30
191	28
191	27
191	27
191	27
191	27
191	27
191	27
192	27
200	28
216	34
242	40
253	41
259	41
262	42
265	42
267	42
270	42
271	42
271	42
271	42
271	42
271	42
271	42
271	42
271	42
271	42
271	42
271	42
278	54
299	99
321	147
357	207
377	238
394	260
399	265
401	267
401	267
407	270
410	272
415	277
425	288
429	297
434	312
438	327
440	331
440	331
440	331
440	331
440	331
440	331
440	331
440	331
440	331
