428	330
428	330
428	330
428	330
422	324
321	233
245	174
204	150
197	146
193	144
190	141
190	139
190	139
190	139
190	139
190	139
190	139
190	139
190	139
190	139
190	139
190	139
190	139
219	129
390	86
523	67
637	55
654	54
663	51
668	48
676	46
680	45
683	44
683	44
683	44
683	44
683	44
683	44
683	44
683	44
683	44
683	44
683	44
683	44
680	44
601	64
502	90
391	119
361	128
350	130
350	131
350	131
351	131
352	131
353	131
355	131
358	131
360	131
361	132
364	137
370	161
385	229
391	257
405	301
414	325
425	344
430	350
432	352
432	352
432	352
432	352
432	352
432	352
432	352
432	348
432	346
432	344
433	342
433	342
433	342
433	342
433	342
433	342
433	342
433	342
433	342
