433	342
433	342
433	342
433	342
432	339
431	296
450	227
500	142
538	103
549	94
558	84
565	78
571	73
573	71
574	71
574	70
577	65
581	59
585	54
587	52
590	49
591	49
591	49
591	49
591	49
591	49
591	49
591	49
591	49
585	55
544	115
529	147
516	173
506	188
488	211
476	218
470	221
463	226
459	228
456	229
455	229
446	233
443	235
442	235
442	235
442	235
442	235
442	235
442	235
442	235
442	235
442	235
442	235
442	235
442	245
442	262
443	269
445	279
445	286
445	294
445	298
445	302
445	307
445	311
445	317
445	321
445	323
445	323
445	323
445	323
445	323
445	323
445	323
445	323
445	323
