440	331
440	331
440	331
440	331
434	308
409	225
379	119
374	98
373	91
373	86
373	80
371	71
370	67
370	65
370	65
370	65
370	65
370	65
370	64
370	64
370	64
370	63
370	63
370	63
371	63
392	83
411	103
431	124
436	131
439	137
441	140
443	142
443	142
443	143
443	143
443	143
443	143
443	143
443	143
443	143
438	141
396	110
293	52
265	46
251	45
248	44
241	43
240	43
239	43
234	43
229	43
225	43
216	43
208	42
205	40
205	39
205	39
205	39
205	39
205	39
205	39
205	39
205	39
205	39
231	62
317	146
381	204
437	259
447	274
452	285
452	290
452	291
452	292
452	294
452	297
453	302
454	312
456	323
456	325
456	325
456	325
456	325
456	325
456	325
456	325
