aa	7.75905
ac	4.38015
ab	5.40892
ae	8.83584
ad	4.64738
ag	5.40339
af	6.03080
ai	4.73765
ah	7.38843
ak	6.18140
aj	8.74289
am	4.54458
al	3.28648
ao	8.95829
an	2.41777
aq	10.2086
ap	5.44583
as	3.30310
ar	3.13801
au	6.25430
at	2.94922
aw	6.57194
av	5.49124
ay	5.01592
ax	9.14007
az	8.92256
ca	2.79238
cc	5.51166
cb	8.85567
ce	2.80162
cd	8.58953
cg	9.57055
cf	9.01100
ci	4.03103
ch	2.77784
ck	4.26029
cj	11.6991
cm	8.91551
cl	4.60260
co	2.36854
cn	9.52015
cq	9.77546
cp	8.49418
cs	6.64296
cr	4.64612
cu	4.90641
ct	3.53778
cw	9.06805
cv	10.5170
cy	6.91356
cx	14.6691
cz	11.2192
ba	2.98141
bc	7.77207
bb	6.66702
be	1.84686
bd	8.94849
bg	10.7552
bf	9.86014
bi	4.00677
bh	8.82435
bk	11.3412
bj	7.95305
bm	8.51220
bl	3.33477
bo	3.09917
bn	9.36609
bq	13.6328
bp	9.24820
bs	5.63457
br	3.92170
bu	3.10964
bt	7.35331
bw	8.96448
bv	9.18785
by	3.74254
bx	14.5006
bz	13.0721
ea	3.58997
ec	4.33931
eb	5.74351
ee	4.81797
ed	3.48352
eg	5.97650
ef	5.29910
ei	5.02483
eh	6.10904
ek	7.75724
ej	8.69728
em	4.84574
el	4.49792
eo	5.26979
en	3.41281
eq	8.47987
ep	5.21739
es	3.19259
er	2.75796
eu	7.14986
et	3.98845
ew	5.14204
ev	5.62481
ey	6.11493
ex	6.52917
ez	10.1305
da	3.22830
dc	5.44516
db	4.75410
de	2.60802
dd	5.36404
dg	6.07635
df	5.35233
di	2.92660
dh	5.16733
dk	8.29206
dj	7.68757
dm	5.53875
dl	5.75524
do	3.65077
dn	5.85834
dq	9.18402
dp	5.71142
ds	3.98185
dr	4.85306
du	4.81327
dt	3.38633
dw	5.06971
dv	7.05583
dy	6.21521
dx	12.5534
dz	10.7150
ga	2.99708
gc	6.10962
gb	6.24349
ge	2.63712
gd	6.67239
gg	5.93349
gf	5.93644
gi	3.65916
gh	3.18305
gk	9.09735
gj	8.98623
gm	6.25066
gl	5.12205
go	3.45399
gn	5.20879
gq	10.5525
gp	6.20642
gs	4.51652
gr	3.68234
gu	4.57366
gt	3.61027
gw	5.83870
gv	8.90823
gy	6.51706
gx	12.5680
gz	11.6198
fa	3.50637
fc	5.91803
fb	6.74064
fe	3.47709
fd	6.98836
fg	7.21844
ff	3.96414
fi	2.98530
fh	5.97726
fk	8.69670
fj	8.45921
fm	6.24608
fl	5.03803
fo	2.32739
fn	7.47363
fq	10.9653
fp	6.30667
fs	5.53571
fr	3.50958
fu	4.91926
ft	2.79383
fw	6.56103
fv	8.60052
fy	6.90967
fx	12.2638
fz	11.5724
ia	5.00039
ic	3.89846
ib	6.94496
ie	4.67811
id	4.63367
ig	5.07005
if	5.80145
ii	9.04255
ih	9.03411
ik	6.95237
ij	10.5127
im	4.92420
il	4.16253
io	3.91592
in	1.86853
iq	10.1003
ip	6.57904
is	3.09957
ir	4.77647
iu	9.11676
it	3.07702
iw	8.43968
iv	5.13211
iy	11.6683
ix	8.50808
iz	7.42281
ha	2.58388
hc	7.22555
hb	7.73261
he	1.09891
hd	8.02366
hg	8.97159
hf	8.01407
hi	2.97156
hh	7.34125
hk	10.0015
hj	10.1493
hm	7.31651
hl	7.52682
ho	3.45043
hn	7.28388
hq	11.0568
hp	7.78381
hs	6.45283
hr	5.81044
hu	6.28184
ht	4.69063
hw	7.26393
hv	10.0924
hy	7.22016
hx	14.8065
hz	12.5064
ka	3.60520
kc	6.35903
kb	6.23458
ke	1.69468
kd	6.95449
kg	7.36414
kf	6.00364
ki	2.56793
kh	5.72883
kk	8.18081
kj	8.81000
km	6.14966
kl	5.34830
ko	4.29362
kn	4.17864
kq	11.2758
